fp,status,id,cpu,memory,duration,source
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id1610_p0.json,finished,19aa5179-e084-42da-a9cb-2c9cfd50699d,6721 cpu-seconds,26916955 mb-seconds,347,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id1900_p0.json,finished,6cf377c5-e1af-440a-bd2e-fd8e14a75e65,2355 cpu-seconds,9014201 mb-seconds,314,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2120_p0.json,finished,97804b7e-a679-4181-8b24-4a4d81dc831d,14251 cpu-seconds,57706795 mb-seconds,401,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2130_p0.json,finished,ecab9e8f-1a5a-4d7a-af19-7d8482493dcf,29637 cpu-seconds,120509389 mb-seconds,546,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2140_p0.json,finished,a79fdc56-b23e-49c9-b786-5ddb33eb3fae,24619 cpu-seconds,99986371 mb-seconds,520,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2150_p0.json,finished,1f7e5694-cc62-485c-a79c-124a9e79bbb3,8288 cpu-seconds,33258424 mb-seconds,373,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2160_p0.json,finished,7f5fd2dc-56df-4b27-bbc4-950f6202168e,21847 cpu-seconds,88649770 mb-seconds,605,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2170_p0.json,finished,2cec7863-50f1-4c38-ad2f-4c804678c83a,23895 cpu-seconds,96922955 mb-seconds,613,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2190_p0.json,finished,15fb83f3-309b-4cd2-8eac-168801886dc7,15939 cpu-seconds,64082408 mb-seconds,693,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2260_p0.json,finished,1f691cb4-a37f-4cbe-b70d-66291c55920e,3104 cpu-seconds,11738047 mb-seconds,488,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\other_crops\terrascope\sampleable_polygons_year2018_zone31_id2290_p0.json,finished,d39e7971-8d91-48d9-8c1b-1b232da3cc7d,2380 cpu-seconds,9071216 mb-seconds,362,tbd
